                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4869,                 1.8773,                 1.4713,                0.58283,                0.53467,                0.56233,                 0.3009,                  1.498,                 2.0488,                 1.6439,             0.00066535,             0.00066535,             0.00066535
                      2,                 1.6969,                 1.9016,                 1.6451,                 0.6227,                0.51175,                0.54927,                0.27253,                 1.6258,                 1.8522,                 1.7512,              0.0012793,              0.0012793,              0.0012793
                      3,                 1.6973,                 1.9062,                 1.6672,                0.62699,                0.56084,                0.58371,                   0.29,                 1.6106,                 1.6075,                 1.7163,              0.0018404,              0.0018404,              0.0018404
                      4,                 1.6507,                 1.8166,                 1.6309,                0.63002,                0.57218,                0.58849,                0.30306,                  1.588,                 1.5749,                 1.6806,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5991,                 1.7455,                 1.5936,                0.69082,                0.61583,                0.67368,                0.38729,                 1.3862,                 1.4494,                 1.5033,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.552,                 1.6786,                 1.5522,                0.74273,                0.64209,                0.72432,                 0.4029,                 1.4072,                 1.3154,                 1.5388,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.5195,                 1.6123,                 1.5299,                0.74238,                0.64457,                0.71737,                0.41351,                 1.3547,                 1.2155,                  1.456,               0.001604,               0.001604,               0.001604
                      8,                 1.4833,                 1.5792,                 1.5031,                0.75968,                0.64501,                0.72246,                 0.4236,                 1.3814,                 1.2114,                 1.4912,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.4526,                 1.5119,                 1.4793,                0.75444,                0.64181,                0.73118,                0.44059,                 1.3113,                 1.2661,                 1.4347,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.4253,                 1.4776,                 1.4584,                0.76415,                0.69341,                0.76613,                0.46481,                 1.3032,                 1.0949,                 1.4124,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4161,                 1.4633,                 1.4622,                 0.7823,                0.67231,                0.76699,                 0.4719,                 1.2463,                 1.1366,                  1.398,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.4139,                 1.4297,                 1.4482,                0.78967,                0.68279,                0.77513,                0.48866,                 1.2288,                 1.1151,                 1.3616,               0.001208,               0.001208,               0.001208
                     13,                 1.3972,                 1.4218,                  1.438,                0.81403,                0.66943,                0.77736,                0.48007,                 1.2356,                 1.1029,                 1.3656,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.3677,                 1.3731,                 1.4192,                0.77881,                0.70633,                0.78918,                0.50188,                 1.1994,                 1.0959,                 1.3335,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.3524,                 1.3559,                 1.4078,                 0.8008,                0.70563,                0.79833,                 0.5145,                 1.1781,                 1.0014,                 1.3101,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.3535,                 1.2659,                 1.4116,                0.80667,                0.69821,                0.78997,                0.50439,                 1.1981,                0.99506,                 1.3301,              0.0008912,              0.0008912,              0.0008912
                     17,                  1.337,                 1.2289,                 1.4041,                 0.7962,                0.70024,                0.78763,                0.52147,                 1.1427,                0.96098,                 1.2885,               0.000812,               0.000812,               0.000812
                     18,                 1.3102,                 1.1853,                 1.3796,                0.81026,                0.73379,                0.81528,                0.52818,                 1.1522,                0.95235,                 1.2981,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.2847,                  1.159,                 1.3691,                0.81606,                0.72612,                0.80851,                0.53179,                 1.1273,                0.92287,                 1.2892,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.2724,                 1.1381,                 1.3534,                0.83174,                 0.7157,                0.81282,                0.54062,                 1.1195,                 0.8873,                 1.2688,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.2489,                 1.0966,                 1.3316,                0.84535,                0.73048,                0.82702,                0.54673,                 1.1181,                0.86161,                 1.2635,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.2237,                 1.0629,                 1.3195,                0.83336,                0.73278,                0.82326,                0.55368,                 1.0881,                0.84621,                 1.2488,               0.000416,               0.000416,               0.000416
                     23,                  1.199,                 1.0468,                 1.3035,                0.84358,                0.73266,                0.82976,                 0.5583,                 1.0854,                0.82642,                 1.2443,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.1921,                 1.0224,                 1.2932,                0.84593,                0.72874,                0.83138,                0.56095,                 1.0715,                 0.8301,                 1.2361,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.1636,                0.98841,                 1.2798,                0.83752,                0.75082,                0.83842,                0.56913,                 1.0715,                0.80757,                 1.2286,              0.0001784,              0.0001784,              0.0001784
